Market Name ,Market Key,Market Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1376,1376,Zip Code,"30,341","32,080","32,584",0,"32,159","31,916","37,720","39,576","47,500","44,232","46,849",
1378,1378,Zip Code,"50,294","52,857","54,821",0,"52,462","51,607","53,819","62,206","61,250","62,500","62,891",
1379,1379,Zip Code,"51,458","55,517","54,815",0,"54,167","52,951","55,000","50,278","51,000","45,313","39,554",
1420,1420,Zip Code,"43,272","45,042","46,180",0,"45,413","45,269","47,182","48,951","47,248","44,828","49,387",
1430,1430,Zip Code,"67,087","68,898","70,509",0,"70,774","70,481","72,445","76,825","80,840","82,972","90,447",
1431,1431,Zip Code,"68,727","70,958","71,980",0,"71,720","71,705","76,570","83,496","77,027","86,387","92,026",
1432,1432,Zip Code,"56,650","58,982","59,356",0,"59,832","59,946","63,289","62,859","68,531","66,434","74,556",
1434,1434,Zip Code,"9,999","375,000","55,000",0,"38,750","57,237","73,611","74,375","75,000","95,833","101,786",
1436,1436,Zip Code,"55,874","57,778","60,420",0,"58,454","57,725","65,243","74,537","76,832","69,131","74,272",
1440,1440,Zip Code,"45,569","47,345","48,875",0,"47,518","47,033","47,890","48,091","48,352","47,571","48,776",
1450,1450,Zip Code,"101,736","105,867","109,237",0,"107,495","107,696","115,378","111,694","117,082","119,103","117,452",
1451,1451,Zip Code,"123,438","126,460","131,703",0,"127,963","127,239","129,561","124,408","126,722","130,622","135,906",
1452,1452,Zip Code,"74,493","78,277","81,066",0,"76,954","76,657","77,315","79,902","77,465","87,332","90,327",
1453,1453,Zip Code,"51,872","53,637","55,032",0,"55,108","54,724","55,721","59,467","59,296","57,157","60,538",
1460,1460,Zip Code,"86,083","89,376","90,632",0,"90,341","90,390","107,469","100,657","109,021","108,957","118,337",
1462,1462,Zip Code,"69,656","71,271","73,591",0,"72,344","72,550","80,025","80,754","76,565","74,397","74,226",
1463,1463,Zip Code,"80,479","82,898","84,660",0,"83,468","82,986","88,807","91,845","94,472","88,736","83,288",
1464,1464,Zip Code,"67,527","67,363","71,416",0,"69,227","70,492","77,781","79,863","83,610","80,141","78,766",
1468,1468,Zip Code,"62,452","63,714","67,932",0,"64,394","64,426","65,354","68,196","64,464","60,933","76,369",
1469,1469,Zip Code,"69,198","70,702","71,401",0,"71,563","71,379","81,665","86,437","90,053","89,327","94,688",
1473,1473,Zip Code,"68,762","69,941","72,144",0,"70,547","70,304","73,415","74,959","77,332","83,635","93,230",
1474,1474,Zip Code,"72,315","73,648","73,280",0,"72,702","72,359","73,618","70,211","84,269","85,197","90,278",
1475,1475,Zip Code,"51,865","53,860","54,924",0,"53,879","53,417","59,421","61,046","67,262","56,938","60,099",
1501,1501,Zip Code,"61,271","62,845","64,983",0,"63,038","62,723","63,984","67,400","67,614","69,996","73,652",
1503,1503,Zip Code,"85,129","88,037","90,865",0,"87,430","86,951","89,853","94,018","89,804","96,964","97,648",
1504,1504,Zip Code,"63,658","65,650","68,090",0,"66,019","65,566","70,078","71,061","76,948","76,094","80,122",
1505,1505,Zip Code,"78,839","82,002","84,749",0,"81,771","81,359","90,246","90,747","94,551","97,533","106,726",
1506,1506,Zip Code,"53,429","56,567","59,000",0,"58,578","58,617","65,984","68,233","64,784","66,524","72,375",
1507,1507,Zip Code,"80,281","82,405","85,097",0,"81,825","80,962","79,092","84,961","86,714","84,552","84,562",
1510,1510,Zip Code,"53,007","55,083","56,517",0,"56,036","55,920","58,078","60,611","68,033","64,299","67,883",
1515,1515,Zip Code,"64,924","68,841","71,961",0,"67,237","66,905","70,593","65,286","66,062","67,179","73,328",
1516,1516,Zip Code,"73,959","77,821","81,378",0,"79,034","78,702","79,315","82,154","82,164","86,916","90,495",
1518,1518,Zip Code,"61,358","64,688","69,000",0,"67,621","67,358","69,024","76,479","81,006","68,876","71,257",
1519,1519,Zip Code,"81,171","84,351","87,627",0,"88,048","87,634","99,217","97,635","99,778","92,393","103,204",
1520,1520,Zip Code,"75,042","77,731","80,717",0,"79,271","78,805","86,506","89,597","97,062","92,402","99,235",
1521,1521,Zip Code,"64,615","66,677","67,453",0,"66,050","66,313","66,039","71,939","72,646","69,417","69,113",
1522,1522,Zip Code,"80,763","83,333","87,827",0,"83,412","83,179","81,220","84,063","90,353","94,958","98,954",
1523,1523,Zip Code,"76,471","78,707","81,735",0,"77,571","77,303","76,764","84,645","76,223","78,821","93,373",
1524,1524,Zip Code,"66,923","69,628","72,283",0,"69,015","68,801","74,164","74,827","74,381","67,327","66,787",
1527,1527,Zip Code,"62,455","64,498","66,430",0,"64,147","63,321","68,610","76,449","73,120","70,038","77,048",
